"success","screen","group","trial_type","trial_index","time_elapsed","internal_node_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","webcam","microphone","vsync_rate","date","time","screen_height","screen_width","researcher","sona_id","prolific_id","study_id","session_id","rt","stimulus","response","question_order","timeout","failed_images","failed_audio","failed_video","trial_duration","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","correct","type","illusion_strength","illusion_difference","block_number","trial_number"
"","","","survey-text","10","21344","0.0-10.0-2.0","","","","","","","","","","","","","","","","","","","","","2811","","{""Q0"":""xxx""}","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","11","26733","0.0-10.0-3.0","","","","","","","","","","","","","","","","","","","","","5388","","{""intention"":""Curiosité"",""substance"":""Psilocybine/champignons/truffes"",""dose"":""Plus élevée qu'une dose typique""}","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","12","36780","0.0-10.0-4.0","","","","","","","","","","","","","","","","","","","","","10043","","{""cannabis"":""Non"",""Alcool"":""Oui"",""stimulants"":""Non"",""MDMA"":""Non"",""Opiacés"":""Non"",""Dissociatifs"":""Non""}","[0,1,2,3,4,5]","","","","","","","","","","","","","","","","","","",""
"","IG_instructions","","html-button-response","13","38838","0.0-11.0-0.0","","","","","","","","","","","","","","","","","","","","","2056","<h1>Le jeux d'illusions</h1><p>Dans ce jeu de rapidité et de réflexe, vous allez devoir faire des <b>jugements visuels</b> (par exemple, quel cercle est le plus grand, ou quelle ligne est la plus longue), aussi rapidement et justement que possible, tout en <b>résistant à des illusions visuelles</b>.</p><p>Nous allons débuter avec quelques exemples de toutes les illusions que vous allez rencontrer dans le jeu.</p>","0","","","","","","","","","","","","","","","","","","","",""
"true","IG_Preload","","preload","14","39002","0.0-11.0-1.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","IG_Instructions","","html-keyboard-response","15","40289","0.0-11.0-1.0-1.0","","","","","","","","","","","","","","","","","","","","","1287","<p><b>Entraînement</b></p><p>Dans cette partie, deux cercles rouges vont apparaître côte à côte à l'écran.</p><p>Vous devez sélectionner quel <b>cercle rouge est plus grand</b> aussi rapidement que possible et sans faire d'erreurs.</p><p>Ne soyez pas distraits par les cercles noirs autour des cercles rouges!</p><p>Appuyez sur <b>la flèche GAUCHE ou DROITE</b> pour indiquer quel est le plus grand <b>cercle rouge</b>.</p><div style='float: center'><img src='https://realitybending.github.io/IllusionGame/v3//images/Ebbinghaus_Demo.png' height='200'></img><p><img src='https://realitybending.github.io/IllusionGame/v3//images/answer_leftright_keyboard.PNG' height='100'></img></p><p class='small'>Dans cet exemple, la réponse correcte est la <b>flèche GAUCHE</b>.</p></div><p>Êtes-vous prêt? <b>Appuyer sur la touche ENTRÉE pour démarrer</b></p>","enter","","","","","","","","","","","","","","","","","","","",""
"","IG_FixationCross","","html-keyboard-response","16","41881","0.0-11.0-1.0-2.0-0.0","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 30%; padding-right: 35%; padding-top: 31%; padding-bottom: 13%"">+</p>","null","","","","","","1088","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","17","43069","0.0-11.0-1.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","1181","https://realitybending.github.io/IllusionGame/v3/stimuli/Ebbinghaus_-1.0000_1.40000.png","arrowleft","","","","","","","Ebbinghaus_-1.0000_1.40000.png","Practice","arrowleft","Ebbinghaus","-1.000000000","1.4000000000","41881","<p style=""color: black; font-size: 80px; padding-left: 30%; padding-right: 35%; padding-top: 31%; padding-bottom: 13%"">+</p>","true","Ebbinghaus","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","1"
"","IG_FixationCross","","html-keyboard-response","18","43748","0.0-11.0-1.0-2.0-0.1","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 7%; padding-right: 30%; padding-top: 1%; padding-bottom: 8%"">+</p>","null","","","","","","677","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","19","44337","0.0-11.0-1.0-2.0-1.1","","","","","","","","","","","","","","","","","","","","","588","https://realitybending.github.io/IllusionGame/v3/stimuli/Ebbinghaus_1.00000_1.40000.png","arrowright","","","","","","","Ebbinghaus_1.00000_1.40000.png","Practice","arrowleft","Ebbinghaus","1.0000000000","1.4000000000","43748","<p style=""color: black; font-size: 80px; padding-left: 7%; padding-right: 30%; padding-top: 1%; padding-bottom: 8%"">+</p>","false","Ebbinghaus","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","2"
"","IG_FixationCross","","html-keyboard-response","20","44947","0.0-11.0-1.0-2.0-0.2","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 29%; padding-right: 45%; padding-top: 48%; padding-bottom: 23%"">+</p>","null","","","","","","608","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","21","45565","0.0-11.0-1.0-2.0-1.2","","","","","","","","","","","","","","","","","","","","","617","https://realitybending.github.io/IllusionGame/v3/stimuli/Ebbinghaus_-0.1500_1.40000.png","arrowright","","","","","","","Ebbinghaus_-0.1500_1.40000.png","Practice","arrowleft","Ebbinghaus","-0.150000000","1.4000000000","44947","<p style=""color: black; font-size: 80px; padding-left: 29%; padding-right: 45%; padding-top: 48%; padding-bottom: 23%"">+</p>","false","Ebbinghaus","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","3"
"","IG_FixationCross","","html-keyboard-response","22","46630","0.0-11.0-1.0-2.0-0.3","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 24%; padding-right: 25%; padding-top: 18%; padding-bottom: 39%"">+</p>","null","","","","","","1063","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","23","47177","0.0-11.0-1.0-2.0-1.3","","","","","","","","","","","","","","","","","","","","","546","https://realitybending.github.io/IllusionGame/v3/stimuli/Ebbinghaus_1.00000_-1.4000.png","arrowleft","","","","","","","Ebbinghaus_1.00000_-1.4000.png","Practice","arrowright","Ebbinghaus","1.0000000000","-1.400000000","46630","<p style=""color: black; font-size: 80px; padding-left: 24%; padding-right: 25%; padding-top: 18%; padding-bottom: 39%"">+</p>","false","Ebbinghaus","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","4"
"","IG_FixationCross","","html-keyboard-response","24","47902","0.0-11.0-1.0-2.0-0.4","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 11%; padding-right: 0%; padding-top: 33%; padding-bottom: 49%"">+</p>","null","","","","","","723","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","25","48915","0.0-11.0-1.0-2.0-1.4","","","","","","","","","","","","","","","","","","","","","1012","https://realitybending.github.io/IllusionGame/v3/stimuli/Ebbinghaus_0.15000_-1.4000.png","arrowright","","","","","","","Ebbinghaus_0.15000_-1.4000.png","Practice","arrowright","Ebbinghaus","0.1500000000","-1.400000000","47902","<p style=""color: black; font-size: 80px; padding-left: 11%; padding-right: 0%; padding-top: 33%; padding-bottom: 49%"">+</p>","true","Ebbinghaus","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","5"
"","IG_FixationCross","","html-keyboard-response","26","49846","0.0-11.0-1.0-2.0-0.5","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 48%; padding-right: 14%; padding-top: 31%; padding-bottom: 5%"">+</p>","null","","","","","","929","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","27","50530","0.0-11.0-1.0-2.0-1.5","","","","","","","","","","","","","","","","","","","","","682","https://realitybending.github.io/IllusionGame/v3/stimuli/Ebbinghaus_0.15000_1.40000.png","arrowright","","","","","","","Ebbinghaus_0.15000_1.40000.png","Practice","arrowleft","Ebbinghaus","0.1500000000","1.4000000000","49846","<p style=""color: black; font-size: 80px; padding-left: 48%; padding-right: 14%; padding-top: 31%; padding-bottom: 5%"">+</p>","false","Ebbinghaus","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","6"
"","IG_FixationCross","","html-keyboard-response","28","51411","0.0-11.0-1.0-2.0-0.6","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 20%; padding-right: 26%; padding-top: 32%; padding-bottom: 32%"">+</p>","null","","","","","","879","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","29","52123","0.0-11.0-1.0-2.0-1.6","","","","","","","","","","","","","","","","","","","","","711","https://realitybending.github.io/IllusionGame/v3/stimuli/Ebbinghaus_-0.1500_-1.4000.png","arrowright","","","","","","","Ebbinghaus_-0.1500_-1.4000.png","Practice","arrowright","Ebbinghaus","-0.150000000","-1.400000000","51411","<p style=""color: black; font-size: 80px; padding-left: 20%; padding-right: 26%; padding-top: 32%; padding-bottom: 32%"">+</p>","true","Ebbinghaus","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","7"
"","IG_FixationCross","","html-keyboard-response","30","53201","0.0-11.0-1.0-2.0-0.7","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 2%; padding-right: 39%; padding-top: 44%; padding-bottom: 35%"">+</p>","null","","","","","","1077","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","31","54033","0.0-11.0-1.0-2.0-1.7","","","","","","","","","","","","","","","","","","","","","830","https://realitybending.github.io/IllusionGame/v3/stimuli/Ebbinghaus_-1.0000_-1.4000.png","arrowright","","","","","","","Ebbinghaus_-1.0000_-1.4000.png","Practice","arrowright","Ebbinghaus","-1.000000000","-1.400000000","53201","<p style=""color: black; font-size: 80px; padding-left: 2%; padding-right: 39%; padding-top: 44%; padding-bottom: 35%"">+</p>","true","Ebbinghaus","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","8"
"","IG_PracticeResults","","html-button-response","32","61788","0.0-11.0-1.0-3.0","","","","","","","","","","","","","","","","","","","","","7753","<p style='color:rgb(76,175,80);'>Réponses correctes:<b>50.00%</b></p><hr><p style='color:rgb(139, 195, 74);'>Temps de réaction:<b>770.88</b> ms.</p>","0","","","","","","","","","","","","","","","","","","","",""
"true","IG_Preload","","preload","33","62439","0.0-11.0-2.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","IG_Instructions","","html-keyboard-response","34","64376","0.0-11.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","1937","<p><b>Entraînement</b></p><p>Dans cette partie, deux lignes horizontales rouges vont apparaître l'une au dessus de l'autre.</p><p>Vous devez sélectionner quelle <b>ligne est la plus longue</b> aussi rapidement que vous pouvez sans faire d'erreurs.</p><p>Ne soyez pas distrait par les croix noires à la fin des lignes rouges!</p><p>Appuyez sur <b>la flèche HAUT ou BAS</b> pour indiquer où est la plus longue <b>ligne rouge</b>.</p><div style='float: center'><img src='https://realitybending.github.io/IllusionGame/v3//images/MullerLyer_Demo.png' height='200'></img><p><img src='https://realitybending.github.io/IllusionGame/v3//images/answer_updown_keyboard.PNG' height='100'></img></p><p class='small'Dans cet exemple, la réponse correcte est la <b>flèche HAUT</b>.</p></div><p>Êtes-vous prêt? <b>Appuyer sur la touche ENTRÉE pour démarrer</b></p>","enter","","","","","","","","","","","","","","","","","","","",""
"","IG_FixationCross","","html-keyboard-response","35","65701","0.0-11.0-2.0-2.0-0.0","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 13%; padding-right: 41%; padding-top: 43%; padding-bottom: 31%"">+</p>","null","","","","","","822","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","36","66295","0.0-11.0-2.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","593","https://realitybending.github.io/IllusionGame/v3/stimuli/MullerLyer_23.0000_-0.7000.png","arrowdown","","","","","","","MullerLyer_23.0000_-0.7000.png","Practice","arrowdown","MullerLyer","23.000000000","-0.700000000","65701","<p style=""color: black; font-size: 80px; padding-left: 13%; padding-right: 41%; padding-top: 43%; padding-bottom: 31%"">+</p>","true","MullerLyer","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","9"
"","IG_FixationCross","","html-keyboard-response","37","66908","0.0-11.0-2.0-2.0-0.1","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 21%; padding-right: 45%; padding-top: 15%; padding-bottom: 33%"">+</p>","null","","","","","","611","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","38","67575","0.0-11.0-2.0-2.0-1.1","","","","","","","","","","","","","","","","","","","","","666","https://realitybending.github.io/IllusionGame/v3/stimuli/MullerLyer_-23.000_-0.7000.png","arrowup","","","","","","","MullerLyer_-23.000_-0.7000.png","Practice","arrowdown","MullerLyer","-23.00000000","-0.700000000","66908","<p style=""color: black; font-size: 80px; padding-left: 21%; padding-right: 45%; padding-top: 15%; padding-bottom: 33%"">+</p>","false","MullerLyer","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","10"
"","IG_FixationCross","","html-keyboard-response","39","68417","0.0-11.0-2.0-2.0-0.2","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 46%; padding-right: 43%; padding-top: 20%; padding-bottom: 31%"">+</p>","null","","","","","","841","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","40","69066","0.0-11.0-2.0-2.0-1.2","","","","","","","","","","","","","","","","","","","","","648","https://realitybending.github.io/IllusionGame/v3/stimuli/MullerLyer_-3.0000_-0.7000.png","arrowdown","","","","","","","MullerLyer_-3.0000_-0.7000.png","Practice","arrowdown","MullerLyer","-3.000000000","-0.700000000","68417","<p style=""color: black; font-size: 80px; padding-left: 46%; padding-right: 43%; padding-top: 20%; padding-bottom: 31%"">+</p>","true","MullerLyer","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","11"
"","IG_FixationCross","","html-keyboard-response","41","69940","0.0-11.0-2.0-2.0-0.3","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 50%; padding-right: 26%; padding-top: 44%; padding-bottom: 31%"">+</p>","null","","","","","","873","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","42","70507","0.0-11.0-2.0-2.0-1.3","","","","","","","","","","","","","","","","","","","","","566","https://realitybending.github.io/IllusionGame/v3/stimuli/MullerLyer_-23.000_0.70000.png","arrowup","","","","","","","MullerLyer_-23.000_0.70000.png","Practice","arrowup","MullerLyer","-23.00000000","0.7000000000","69940","<p style=""color: black; font-size: 80px; padding-left: 50%; padding-right: 26%; padding-top: 44%; padding-bottom: 31%"">+</p>","true","MullerLyer","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","12"
"","IG_FixationCross","","html-keyboard-response","43","71131","0.0-11.0-2.0-2.0-0.4","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 4%; padding-right: 42%; padding-top: 9%; padding-bottom: 9%"">+</p>","null","","","","","","622","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","44","71764","0.0-11.0-2.0-2.0-1.4","","","","","","","","","","","","","","","","","","","","","633","https://realitybending.github.io/IllusionGame/v3/stimuli/MullerLyer_3.00000_0.70000.png","arrowdown","","","","","","","MullerLyer_3.00000_0.70000.png","Practice","arrowup","MullerLyer","3.0000000000","0.7000000000","71131","<p style=""color: black; font-size: 80px; padding-left: 4%; padding-right: 42%; padding-top: 9%; padding-bottom: 9%"">+</p>","false","MullerLyer","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","13"
"","IG_FixationCross","","html-keyboard-response","45","72622","0.0-11.0-2.0-2.0-0.5","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 37%; padding-right: 31%; padding-top: 15%; padding-bottom: 34%"">+</p>","null","","","","","","856","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","46","73455","0.0-11.0-2.0-2.0-1.5","","","","","","","","","","","","","","","","","","","","","833","https://realitybending.github.io/IllusionGame/v3/stimuli/MullerLyer_-3.0000_0.70000.png","arrowup","","","","","","","MullerLyer_-3.0000_0.70000.png","Practice","arrowup","MullerLyer","-3.000000000","0.7000000000","72622","<p style=""color: black; font-size: 80px; padding-left: 37%; padding-right: 31%; padding-top: 15%; padding-bottom: 34%"">+</p>","true","MullerLyer","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","14"
"","IG_FixationCross","","html-keyboard-response","47","74273","0.0-11.0-2.0-2.0-0.6","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 6%; padding-right: 5%; padding-top: 28%; padding-bottom: 22%"">+</p>","null","","","","","","816","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","48","74767","0.0-11.0-2.0-2.0-1.6","","","","","","","","","","","","","","","","","","","","","493","https://realitybending.github.io/IllusionGame/v3/stimuli/MullerLyer_23.0000_0.70000.png","arrowdown","","","","","","","MullerLyer_23.0000_0.70000.png","Practice","arrowup","MullerLyer","23.000000000","0.7000000000","74273","<p style=""color: black; font-size: 80px; padding-left: 6%; padding-right: 5%; padding-top: 28%; padding-bottom: 22%"">+</p>","false","MullerLyer","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","15"
"","IG_FixationCross","","html-keyboard-response","49","75739","0.0-11.0-2.0-2.0-0.7","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 16%; padding-right: 6%; padding-top: 5%; padding-bottom: 5%"">+</p>","null","","","","","","970","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","50","76232","0.0-11.0-2.0-2.0-1.7","","","","","","","","","","","","","","","","","","","","","493","https://realitybending.github.io/IllusionGame/v3/stimuli/MullerLyer_3.00000_-0.7000.png","arrowup","","","","","","","MullerLyer_3.00000_-0.7000.png","Practice","arrowdown","MullerLyer","3.0000000000","-0.700000000","75739","<p style=""color: black; font-size: 80px; padding-left: 16%; padding-right: 6%; padding-top: 5%; padding-bottom: 5%"">+</p>","false","MullerLyer","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","16"
"","IG_PracticeResults","","html-button-response","51","79428","0.0-11.0-2.0-3.0","","","","","","","","","","","","","","","","","","","","","3195","<p style='color:rgb(76,175,80);'>Réponses correctes:<b>50.00%</b></p><hr><p style='color:rgb(139, 195, 74);'>Temps de réaction:<b>615.63</b> ms.</p>","0","","","","","","","","","","","","","","","","","","","",""
"true","IG_Preload","","preload","52","80113","0.0-11.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","IG_Instructions","","html-keyboard-response","53","81926","0.0-11.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","1812","<p><b>Entraînement</b></p><p>Dans cette partie, deux lignes rouges vont apparaître côte à côte à l'écran.</p><p>Vous devez sélectionner <b>quelle est la plus longue</b>, peu importe leur orientation, aussi vite que vous pouvez et sans faire d'erreurs.</p><p>Ne soyez pas distrait par l'orientation des lignes!</p><p>Appuyez sur <b>la flèche GAUCHE ou DROITE</b> pour indiquer quelle <b>ligne est la plus longue</b>.</p><div style='float: center'><img src='https://realitybending.github.io/IllusionGame/v3//images/VerticalHorizontal_Demo.png' height='200'></img><p><img src='https://realitybending.github.io/IllusionGame/v3//images/answer_leftright_keyboard.PNG' height='100'></img></p><p class='small'>Dans cet exemple, la réponse correcte est la <b>flèche GAUCHE</b>.</p></div><p>Êtes-vous prêt? <b>Appuyer sur la touche ENTRÉE pour démarrer</b></p>","enter","","","","","","","","","","","","","","","","","","","",""
"","IG_FixationCross","","html-keyboard-response","54","83032","0.0-11.0-3.0-2.0-0.0","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 2%; padding-right: 47%; padding-top: 15%; padding-bottom: 28%"">+</p>","null","","","","","","603","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","55","83611","0.0-11.0-3.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","579","https://realitybending.github.io/IllusionGame/v3/stimuli/VerticalHorizontal_4.50000_0.90000.png","arrowright","","","","","","","VerticalHorizontal_4.50000_0.90000.png","Practice","arrowleft","VerticalHorizontal","4.5000000000","0.9000000000","83032","<p style=""color: black; font-size: 80px; padding-left: 2%; padding-right: 47%; padding-top: 15%; padding-bottom: 28%"">+</p>","false","VerticalHorizontal","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","17"
"","IG_FixationCross","","html-keyboard-response","56","84233","0.0-11.0-3.0-2.0-0.1","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 31%; padding-right: 50%; padding-top: 8%; padding-bottom: 35%"">+</p>","null","","","","","","620","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","57","84871","0.0-11.0-3.0-2.0-1.1","","","","","","","","","","","","","","","","","","","","","637","https://realitybending.github.io/IllusionGame/v3/stimuli/VerticalHorizontal_33.0000_-0.9000.png","arrowright","","","","","","","VerticalHorizontal_33.0000_-0.9000.png","Practice","arrowright","VerticalHorizontal","33.000000000","-0.900000000","84233","<p style=""color: black; font-size: 80px; padding-left: 31%; padding-right: 50%; padding-top: 8%; padding-bottom: 35%"">+</p>","true","VerticalHorizontal","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","18"
"","IG_FixationCross","","html-keyboard-response","58","85948","0.0-11.0-3.0-2.0-0.2","","","","","","","","","","","","","","","","","","","","","null","<p style=""color: black; font-size: 80px; padding-left: 6%; padding-right: 36%; padding-top: 39%; padding-bottom: 39%"">+</p>","null","","","","","","1074","","","","","","","","","","","","","",""
"","IG_Trial","","image-keyboard-response","59","86579","0.0-11.0-3.0-2.0-1.2","","","","","","","","","","","","","","","","","","","","","630","https://realitybending.github.io/IllusionGame/v3/stimuli/VerticalHorizontal_4.50000_-0.9000.png","arrowright","","","","","","","VerticalHorizontal_4.50000_-0.9000.png","Practice","arrowright","VerticalHorizontal","4.5000000000","-0.900000000","85948","<p style=""color: black; font-size: 80px; padding-left: 6%; padding-right: 36%; padding-top: 39%; padding-bottom: 39%"">+</p>","true","VerticalHorizontal","function () {
            return jsPsych.timelineVariable(""Illusion_Strength"")
        }","function () {
            return jsPsych.timelineVariable(""Difference"")
        }","1","19"
